frame_id,image_path,timestamp,backend,n_detections,max_confidence,monitor_score,q95_threshold,q99_threshold,state_before,state_after,transition_reason,latency_ms
70,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000932.png,2026-07-17T12:01:16.715601+00:00,pytorch,4,0.814497,0.185503,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.08
71,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000951.png,2026-07-17T12:01:16.730616+00:00,pytorch,15,0.937433,0.062567,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.2
72,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000955.png,2026-07-17T12:01:16.746164+00:00,pytorch,12,0.919495,0.080505,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.26
73,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001000.png,2026-07-17T12:01:16.762267+00:00,pytorch,4,0.911633,0.088367,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.3
74,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001031.png,2026-07-17T12:01:16.792149+00:00,pytorch,1,0.832109,0.167891,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,30.13
75,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001033.png,2026-07-17T12:01:16.812149+00:00,pytorch,1,0.903541,0.096459,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,19.36
76,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001058.png,2026-07-17T12:01:16.826147+00:00,pytorch,5,0.937115,0.062885,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.21
77,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001065.png,2026-07-17T12:01:16.841192+00:00,pytorch,21,0.929264,0.070736,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.41
78,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001073.png,2026-07-17T12:01:16.856719+00:00,pytorch,5,0.769805,0.230195,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.96
79,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001079.png,2026-07-17T12:01:16.872705+00:00,pytorch,1,0.863585,0.136415,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.82
80,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001104.png,2026-07-17T12:01:16.888721+00:00,pytorch,14,0.922122,0.077878,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.37
81,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001120.png,2026-07-17T12:01:16.905102+00:00,pytorch,12,0.933673,0.066327,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.96
82,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001124.png,2026-07-17T12:01:16.920401+00:00,pytorch,1,0.868095,0.131905,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.7
83,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001127.png,2026-07-17T12:01:16.937425+00:00,pytorch,10,0.923428,0.076572,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.34
84,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001136.png,2026-07-17T12:01:16.952963+00:00,pytorch,11,0.944878,0.055122,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.69
85,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001145.png,2026-07-17T12:01:16.967967+00:00,pytorch,5,0.90451,0.09549,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.0
86,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001162.png,2026-07-17T12:01:16.984987+00:00,pytorch,16,0.979276,0.020724,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.49
87,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001180.png,2026-07-17T12:01:17.000964+00:00,pytorch,18,0.932437,0.067563,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.95
88,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001192.png,2026-07-17T12:01:17.015993+00:00,pytorch,9,0.932341,0.067659,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.44
89,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001196.png,2026-07-17T12:01:17.031052+00:00,pytorch,8,0.902215,0.097785,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.41
90,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001199.png,2026-07-17T12:01:17.046379+00:00,pytorch,21,0.928319,0.071681,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.5
91,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001217.png,2026-07-17T12:01:17.062394+00:00,pytorch,11,0.94743,0.05257,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.74
92,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001220.png,2026-07-17T12:01:17.079393+00:00,pytorch,31,0.825722,0.174278,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.55
93,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001231.png,2026-07-17T12:01:17.096378+00:00,pytorch,3,0.834793,0.165207,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,17.06
94,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001236.png,2026-07-17T12:01:17.112394+00:00,pytorch,5,0.865903,0.134097,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.48
95,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001246.png,2026-07-17T12:01:17.128378+00:00,pytorch,21,0.933221,0.066779,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.11
96,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001263.png,2026-07-17T12:01:17.143380+00:00,pytorch,6,0.912319,0.087681,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.78
97,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001265.png,2026-07-17T12:01:17.158716+00:00,pytorch,5,0.895995,0.104005,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.75
98,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001267.png,2026-07-17T12:01:17.172715+00:00,pytorch,27,0.928639,0.071361,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.06
99,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\001269.png,2026-07-17T12:01:17.187721+00:00,pytorch,5,0.918034,0.081966,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.96
